Loading module for Anaconda
Anaconda 2019.10 is now loaded
SUN
Random Seed:  4115
# of training samples:  10320
Encoder(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=204)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=204, out_features=102)
  (linear_log_var): Linear(in_features=204, out_features=102)
)
Generator(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=4096)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=102)
  (lrelu): LeakyReLU(0.2, inplace)
)
[75/400]  Loss_D: -1.4581 Loss_G: -2.3124, Wasserstein_dist:1.9967, vae_loss_seen:357.6488 GZSL: seen=0.3570, unseen=0.4951, h=0.4149 ZSL: unseen accuracy=0.6507
[76/400]  Loss_D: -1.6322 Loss_G: -2.1098, Wasserstein_dist:2.1524, vae_loss_seen:347.1705 GZSL: seen=0.4124, unseen=0.4236, h=0.4179 ZSL: unseen accuracy=0.6646
[77/400]  Loss_D: -1.5189 Loss_G: -2.3033, Wasserstein_dist:1.9931, vae_loss_seen:342.9294 GZSL: seen=0.3841, unseen=0.4479, h=0.4136 ZSL: unseen accuracy=0.6507
[78/400]  Loss_D: -1.4794 Loss_G: -2.1013, Wasserstein_dist:1.9986, vae_loss_seen:345.1483 GZSL: seen=0.3783, unseen=0.4465, h=0.4096 ZSL: unseen accuracy=0.6403
[79/400]  Loss_D: -1.3743 Loss_G: -2.0883, Wasserstein_dist:1.8145, vae_loss_seen:333.2888 GZSL: seen=0.3663, unseen=0.4861, h=0.4178 ZSL: unseen accuracy=0.6514
[80/400]  Loss_D: -1.5144 Loss_G: -2.3171, Wasserstein_dist:2.0558, vae_loss_seen:353.5452 GZSL: seen=0.3810, unseen=0.4431, h=0.4097 ZSL: unseen accuracy=0.6410
[81/400]  Loss_D: -1.4943 Loss_G: -2.3562, Wasserstein_dist:2.0509, vae_loss_seen:343.0347 GZSL: seen=0.3864, unseen=0.4528, h=0.4170 ZSL: unseen accuracy=0.6507
[82/400]  Loss_D: -1.3937 Loss_G: -2.4799, Wasserstein_dist:1.8758, vae_loss_seen:358.3679 GZSL: seen=0.3891, unseen=0.4361, h=0.4113 ZSL: unseen accuracy=0.6368
[83/400]  Loss_D: -1.5742 Loss_G: -2.8089, Wasserstein_dist:2.1745, vae_loss_seen:345.0335 GZSL: seen=0.3616, unseen=0.4917, h=0.4167 ZSL: unseen accuracy=0.6410
[84/400]  Loss_D: -1.4398 Loss_G: -2.4907, Wasserstein_dist:1.9167, vae_loss_seen:353.8138 GZSL: seen=0.3612, unseen=0.4806, h=0.4124 ZSL: unseen accuracy=0.6500
[85/400]  Loss_D: -1.4381 Loss_G: -2.5405, Wasserstein_dist:1.9210, vae_loss_seen:344.1271 GZSL: seen=0.3632, unseen=0.4785, h=0.4129 ZSL: unseen accuracy=0.6486
[86/400]  Loss_D: -1.5428 Loss_G: -2.5231, Wasserstein_dist:2.0954, vae_loss_seen:364.4140 GZSL: seen=0.4062, unseen=0.4264, h=0.4161 ZSL: unseen accuracy=0.6472
[87/400]  Loss_D: -1.4309 Loss_G: -2.7631, Wasserstein_dist:2.0033, vae_loss_seen:354.0241 GZSL: seen=0.3950, unseen=0.4444, h=0.4182 ZSL: unseen accuracy=0.6424
[88/400]  Loss_D: -1.4244 Loss_G: -2.4401, Wasserstein_dist:1.9302, vae_loss_seen:347.0158 GZSL: seen=0.3880, unseen=0.4514, h=0.4173 ZSL: unseen accuracy=0.6604
[89/400]  Loss_D: -1.5917 Loss_G: -2.8658, Wasserstein_dist:2.1191, vae_loss_seen:368.2577 GZSL: seen=0.3942, unseen=0.4479, h=0.4193 ZSL: unseen accuracy=0.6479
